pincode,circle,region,division,offices
757043,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Rairangpur H.O, Anladuva S.O, Mahuldiha S.O, Rairangpur Bazar S.O, Rairangpur R.S S.O"
757045,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jamda S.O (Mayurbhanj), Badkuleibira B.O, Halda B.O, Jarkani B.O, Khairpal B.O, Pasana B.O, Talgaon B.O, Tarana B.O, Tendra B.O"
757046,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bahalda S.O, Basingi B.O, Binjhua B.O, Dundu B.O, Gambharia B.O, Indukhali B.O, Kulgi B.O, Moronda B.O, Purunapani B.O, Soso B.O, Tamalbandh B.O"
757047,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Badampahar S.O, Basilapir B.O, Dova B.O, Jhipabandh B.O, Jorda B.O, Kathbharia B.O, Padhia B.O, Talakpokhari B.O"
757048,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bijatala S.O, Ambadiha B.O, Badamtalia B.O, Banakati B.O, Damudigoda B.O, Luhakani B.O, Luhasila B.O, Manikpur B.O, Raihari B.O, Sargoda B.O"
757049,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Balidiha B.O, Bhaluki B.O, Chandanpur B.O, Chhadkata B.O, Haldibani B.O, Jagannathpur B.O, Kendua B.O, Shyamakhunta S.O, Kisandahi B.O, Kochilaghaty B.O, Palpala Ambadali B.O, Poda astia B.O, Rangamatia B.O, Saratchandrapur B.O, Sindurgoura B.O, Sirishbani B.O"
757050,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Hatbadra S.O, Aharbandh B.O, Bhalubasa B.O, Chuapani B.O, Hesda B.O, Kumudasole B.O, Kusumi B.O, Pratapgarh B.O, Purunaghati B.O, Purunapani B.O, Shyamsundar B.O, Suleipat B.O, Ukam B.O, Uparbeda B.O"
757051,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bagbuda B.O, Kherna B.O, Mahulbarei B.O, Murunia B.O, Palasbani B.O, Pokharia B.O, Ratila B.O, Silfodi B.O, Unchagaon B.O, Saraskana S.O"
757052,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jugpura S.O, Aldia Bartana B.O, Anla B.O, Bhudurbani B.O, Durgapur B.O, Hatijhari B.O, Jugal B.O, Khadikapada B.O, Machhapada B.O, Merda B.O, Paika Sahi B.O, Raghavpur B.O, Raikama B.O, Saitpur B.O, Sansa B.O, Tilapada B.O, Totapada B.O, KURADHIKA B.O."
757053,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Tiring S.O, Baddalima B.O, Badpalasa B.O, Bhagabandi B.O, Changua B.O, Dharamdihi B.O, Jirei B.O, Lupung B.O, Maghua B.O, Pandupani B.O, Sanbhundu B.O"
757054,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bahalda Rd RS S.O, Asana B.O, Badkedam B.O, Bhitaramda B.O, Dolsara B.O, Soroda Jashipur B.O, Tarana B.O"
757055,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brahmapura B.O, Haripur B.O, Mangalpur B.O, Panisapada B.O, Purnachandrapur B.O, Amarda S.O, Sarisa B.O"
757073,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Nalagaja S.O, Bhaduasole B.O, Harekrushnapur B.O, Khuruntia B.O, Mahulia B.O, Rangiam B.O, Tukpalasia B.O"
757074,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Basipitha S.O, Badfeni B.O, Badpathara B.O, Bahalda B.O, Bangra B.O, Sapanchua B.O, Talakunda B.O, Tangana B.O, BANDHAGODA"
757075,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Dukura S.O, Ambadali B.O, Astajharan B.O, Bireswarpur B.O, Chandrapur B.O, Itamundia B.O, Kamalasole B.O, Kamali B.O, Khanua B.O, Lakhanasahi B.O, Narankhunta B.O, Salbani B.O"
757077,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Nudadiha S.O, Badkhaman B.O, Chakradharpur B.O, Hill Block   24 B.O, Kolialam B.O, Manikpur B.O, Podadiha B.O, Potaldiha B.O, Sarbanghati B.O"
757079,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Dewan Bahali B.O, Gour Chandra Pur B.O, Kalamgodia B.O, Katuria B.O, Labanyadeipur B.O, Nedam B.O, Rajat Nagar B.O, Saradiha B.O, Sarat S.O"
757081,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kumbharmundakata S.O, Budama R.S. B.O, Dhangudisole B.O, Dudhiasole B.O, Kesharpur B.O, Khairbani B.O, Kothabila B.O, Nodhana B.O, Sankucha B.O"
757082,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Garhdeulia S.O, Alda B.O, Balka B.O, Durgapur B.O, Gosaingaon B.O, Hempur B.O, Kalama B.O, Kantipur B.O, Palasia B.O"
757083,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bhimda S.O, Arpata B.O, C.Mangalpur B.O, Daundia B.O, Patisari B.O, Tentuligaon B.O"
757084,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kostha S.O, Badbhalia B.O, Baddhenkia B.O, Brahmanmara B.O, Chadheigaon B.O, Dharampura B.O, Fania B.O, Gouduniduba B.O, Kaduani B.O, Marudihi B.O, Naupada B.O, Nuhajhalia B.O, Paktia B.O"
757085,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kushalda S.O, Baradihi B.O, Debgaon B.O, Jaipur B.O, Pathurikata B.O, Srinathpur B.O, Taradasole B.O"
757086,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Jharpokharia S.O, Badchatra B.O, Badsole B.O, Belbaria B.O, Bhursani B.O, Jalda B.O, Khadiasole B.O, Kuanrdihi B.O, Nuhamalia B.O, Padmapur Deuli B.O, Rajaloka B.O"
757087,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Brundaban Chandrapur S.O, Ambikadeipur B.O, Athapara B.O, Balichhatra B.O, Chadada B.O, Chandrapur B.O, Dhanghera B.O, Gadigaon B.O, Hatisahi B.O, Kundabai B.O, Patsanipur B.O, Sridamchandrapur B.O"
757091,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Khairi Jashipur S.O, Bakla B.O, Begunia B.O, Bhanjkia B.O, Ektali B.O, Gadapalasa B.O, Jharbeda B.O, M.Beuinria B.O, Matiagarh B.O, Neuti B.O, Sirakuli B.O, Tilakothi B.O"
757092,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kusumbandi S.O, Badgaon B.O, Bhuasuni B.O, Budhikhamari B.O, Hinjili B.O, Jaldiha B.O, Kanchhinda B.O, Kundulia B.O, Labania B.O, Sarisapal B.O, Shyamsundarpur B.O"
757093,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Joka S.O (Mayurbhanj), Dumurdiha B.O, Paktia B.O, Pokhardiha B.O, Pokpoka B.O, Sankhabhanga B.O"
757100,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Badchhuruni B.O, Bahanada Sathilo S.O, Dahikoti B.O, Muktapur B.O, Purikhunta B.O, Purinda B.O, Saria B.O, Tarakothi B.O"
757101,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bairatpur B.O, Dihirakul B.O, Dimagadia B.O, Teldihudi B.O, Radho S.O"
757102,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Puruna Baripada S.O, Chaturi B.O, Pasuda B.O, Sainkula B.O, Sanbelakuti B.O, Sirathali B.O"
757103,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Pratappur S.O (Mayurbhanj), Haripur B.O, Madhopur B.O, Orachandbilla B.O"
757104,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Bholagadia B.O, Dengam B.O, Gayalmara B.O, Bahanada S.O, Nuagaon B.O"
757105,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Kuchei S.O, Aniapal B.O, Asanjoda B.O, Baiganbaria B.O, Dumurdiha B.O, Gangraj B.O, Haldia (Baripada) B.O, Kantapal B.O"
757106,Odisha circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Mahulpankha B.O, Majhigadia B.O, Padmapokhari B.O, Raipal B.O, Sundhal B.O, Salchua S.O"
757107,Odisha Circle,Bhubaneswar HQ Region,Mayurbhanj Division,"Laxmiposi S.O, Bankisole B.O, Bhudrubani B.O, Garudnesa B.O, Kainfulia B.O, Patharchakuli B.O, Rajabasa B.O, Sanfutuka B.O, Sankhabhanga B.O"
758001,Odisha Circle,Sambalpur Region,Keonjhar Division,"Keonjhargarh H.O, Keonjhar Court S.O, Keonjhar Mining School S.O, Keonjhar New Markt S.O, Keonjhar Science College S.O, Madhapur S.O"
758002,Odisha Circle,Sambalpur Region,Keonjhar Division,"Keonjhar Bazar S.O, Bodapalasa B.O, Ghutur B.O, Nelung B.O, Ranki B.O, Keonjhar Atopur S.O"
758013,Odisha Circle,Sambalpur Region,Keonjhar Division,"Raisuan S.O, Bauripada B.O, Birakishorepur B.O, Dhrupada B.O, Gobardhan B.O, Kadagarh B.O, Kempasada B.O, Kusumita B.O, Mahadeijoda B.O, Nuagaon B.O, Padmapur B.O, Sankir B.O, Sendkap B.O, Tikarpada B.O"
758014,Odisha Circle,Sambalpur Region,Keonjhar Division,"Naranpur S.O, Badaposi B.O, Bolaniposi B.O, Dimba B.O, Dimirimunda B.O, Haladharpur B.O, Kudipasa B.O, Maidankela B.O, Mandua B.O, Raghunathpur B.O, Sirishpal B.O"
758015,Odisha Circle,Sambalpur Region,Keonjhar Division,"Ghasipura S.O, Atasahi B.O, Bada Ektali B.O, Biragobindapur B.O, Dhakotha B.O, Gohira B.O, Kanto B.O, Khaliamenta B.O, Kolimati B.O, Naduan B.O, Sailong B.O, Santoshpur B.O, Trilochanpur B.O"
