pincode,circle,region,division,offices
762021,Odisha Circle,Berhampur Region,Phulbani Division,"Bamunigaon S.O (Kandhamal), Allanjuri B.O, Gadapur B.O, Gudikia B.O, Hatimunda B.O, Jhinjiriguda B.O, Kasabasa B.O, Kattingia B.O, Kumbharigaon B.O, Mahagudi B.O, Mandipanka B.O, Minjapanka B.O, Salimagochha B.O, Sangadama B.O, Saramuli B.O, Tajungia B.O, Tamangi B.O"
762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O, Kurmingia B.O, Talarimaha B.O"
762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O, Karanjakata B.O, Laxmanpur B.O, Ranipathar B.O"
762024,Odisha Circle,Berhampur Region,Phulbani Division,"Biranarasinghpur S.O, Bamanda B.O, Bilabadi B.O, Biramchandrapur B.O, Devgarh B.O, Karadi B.O, Kelakata B.O, Lunibahal B.O, Mathura B.O, Rambhikata B.O, Sampoch B.O"
762026,Odisha Circle,Berhampur Region,Phulbani Division,"Sarsara S.O, Badhigaon B.O, Baghiapada B.O, Bandhapathar B.O, Birigarh B.O, Dhadalapada B.O, Khuntiapada B.O, Salki B.O, Tikiripada B.O"
762027,Odisha Circle,Berhampur Region,Phulbani Division,"Linepada S.O, Bapalamendi B.O, Dankuni B.O, Jhagadapata B.O, R Nuagaon B.O"
762028,Odisha Circle,Berhampur Region,Phulbani Division,"Chakapada S.O, Bellapadar B.O, Brahmanpad B.O, Chahali B.O, Ghatiguda B.O, Nediguda B.O, Pasara B.O, Rupagaon B.O"
762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O, Balaskumpa B.O, Boida B.O, Ganjuguda B.O, Keredi B.O, Minia B.O, Pakanagaon B.O, Rasimendi B.O, Titrapanga B.O"
762030,Odisha Circle,Berhampur Region,Phulbani Division,"Baghiabahal S.O, Barapadar B.O, Dapalla B.O, Gabjore B.O, Khaliapalli B.O, Khatakhatia B.O, Lokapada B.O, Rundimahal B.O, Similipadar B.O"
762100,Odisha Circle,Berhampur Region,Phulbani Division,"G.Udayagiri S.O, Dadapada B.O, Gadaguda B.O, Gressingia B.O, Kanbageri B.O, Kathingia B.O, Lingagarh B.O, Mallickpodi B.O, Nilungia B.O, Raikala B.O, Raipalli B.O, Rattingia B.O, Rudangia B.O, Sirki B.O, Sudhipada B.O, Tiangia B.O, Pukulingia B.O, Court Street G Udayagiri S.O"
762101,Odisha Circle,Berhampur Region,Phulbani Division,"Raikia S.O, Bakingia B.O, Bandha B.O, Beredakia B.O, Chanchedi B.O, Dadingia B.O, Deegi B.O, Gedingia B.O, Gudrikia B.O, Gundhani B.O, Kajuri B.O, Lamungia B.O, Mandakia B.O, Mandasaru B.O, Manikeswar B.O, Padunbadi B.O, Sikaketa B.O, Sugudabadi B.O"
762102,Odisha Circle,Berhampur Region,Phulbani Division,"Nuagaon S.O (Kandhamal), Balligada B.O, Demisingia B.O, Dharampur B.O, Gunjibadi B.O, Kanjamendi B.O, Kudutuli B.O, Lethingia B.O, Lokebadi B.O, Sirtiguda B.O"
762103,Odisha Circle,Berhampur Region,Phulbani Division,"Balliguda S.O, Badagaon B.O, Bediketa B.O, Boudingia B.O, Budaguda B.O, Budrukia B.O, Burangia B.O, Dandapadar B.O, Demingia B.O, Gumikia B.O, Kachhabali B.O, Kudupanga B.O, Mahasingi B.O, Pakari B.O, Parigada B.O, Rutungia B.O, Sainipada B.O, Samanbadi B.O, Sindrigaon B.O, Tillory B.O, Nuasahi S.O"
762104,Odisha Circle,Berhampur Region,Phulbani Division,"Daringbadiso S.O, Badabanga B.O, Badangia B.O, Bhramarabadi B.O, Danekbadi B.O, Dasingbadi B.O, Greenbadi B.O, Kerubadi B.O, Kirikuti B.O, Kumbharabadi B.O, Pangali B.O, Parthamaha B.O, Siangbali B.O, Simanbadi B.O, Sonepur B.O, Sraniketa B.O, Tekangia B.O, Terabadi B.O"
762105,Odisha Circle,Berhampur Region,Phulbani Division,"Kothagarh S.O, Bandapipili B.O, Durgapanga B.O, Gugurumaha B.O, Judabali B.O, Kutiguda B.O, Madaguda B.O, Marlang B.O, Ora B.O, Paikadharakote B.O, Salkibudaguda B.O, Srirampur B.O, Subarnagiri B.O"
762106,Odisha Circle,Berhampur Region,Phulbani Division,"Sarangada S.O, Bariguda B.O, Banegaon B.O, Guttingia B.O, Katadi B.O, Bandaguda B.O, Magadangia B.O, Padangi B.O, Paderipada B.O, Siringia B.O"
