pincode,circle,region,division,offices
761114,Odisha Circle,Berhampur Region,Aska Division,"Mundamarai S.O, Badula B.O, Jagamohan B.O, Jhadabandha B.O, Jharapari B.O, Kusuraba B.O"
761115,Odisha Circle,Berhampur Region,Aska Division,"Gunthapada S.O, Balisira B.O, Debabhumi B.O, Mangalpur B.O, Sahaspur B.O"
761116,Odisha Circle,Berhampur Region,Aska Division,"Bhetonoi S.O, Badakholi B.O, Dhaninja B.O, Pandiapathara B.O, Sidhanoi B.O"
761117,Odisha Circle,Berhampur Region,Aska Division,"Ballipadar S.O, Antarapada B.O, Arakhapur B.O, Bhatakhali B.O, Bishnuchakra B.O, Gahangu B.O, Hatiota B.O, Karadabadi (A) B.O, Mandar B.O, Mangalpur B.O, Rumagada B.O"
761118,Odisha Circle,Berhampur Region,Aska Division,"Buguda S.O, Adipur B.O, B.Pankalbadi B.O, Betarasingi B.O, Bhamsyali B.O, Dhunkapada B.O, Gaudiabarada B.O, Golabandha B.O, Golamundala B.O, Golia B.O, Kanachhai B.O, Kanasukha B.O, Kholakhalli B.O, Manitara B.O, Motabadi B.O, Pangidi B.O, Sankuru B.O, Sodak B.O"
761119,Odisha Circle,Berhampur Region,Aska Division,"Bellaguntha S.O, Ambapua B.O, B.L.S.Pur B.O, Bonka B.O, Kirapalli B.O, Kudutei B.O, Pantikhari B.O, Patrapalli B.O, Pratapur B.O, Udhra B.O, B D Sahi Bellagunhta S.O"
761120,Odisha Circle,Berhampur Region,Aska Division,"Baragam S.O, Aladi B.O, B.D.Pur B.O, Jhadabhumi B.O, Khamarpalli B.O, Nimapadar B.O, Patadhar B.O"
761121,Odisha Circle,Berhampur Region,Aska Division,"Jagannath Prasad S.O, Alasuguma B.O, Chamunda B.O, Gandadhara B.O, Kadapada B.O, Kadua B.O, Kumpapada B.O, Kumundi B.O, Panchabhuti B.O, Rauti B.O, Samarbandha B.O"
761122,Odisha Circle,Berhampur Region,Aska Division,"Nimina S.O, Benapata B.O, Kamagada B.O, Kendupadar B.O, Landajuali B.O, Munigadi B.O"
761123,Odisha Circle,Berhampur Region,Aska Division,"Gangapur (Ganjam) S.O, Bangarada B.O, Bori B.O, K.Nuagada B.O, Khairaputi B.O, Khetribarapur B.O, Nunipadasasan B.O, Pailipada B.O, Palakasandha B.O"
761124,Odisha Circle,Berhampur Region,Aska Division,"Gobara S.O, Badaborasingi B.O, Badapada B.O, Benipalli B.O, G.Dengapadar B.O, Kaliaguda B.O, Kullangi B.O, Madhabarida B.O, Nettanga B.O"
761125,Odisha Circle,Berhampur Region,Aska Division,"Badakodanda S.O, Bahadapadar B.O, Dumakumpa B.O, Indragada B.O, Khamaredi B.O, Sanakodanda B.O, Lalsingh B.O"
761126,Odisha Circle,Berhampur Region,Aska Division,"Bhanjanagar H.O, Bhanjamargo S.O, Bhanjanagar  College S.O, Bhanjanagar Bazar S.O, Bhejiput S.O"
761131,Odisha Circle,Berhampur Region,Aska Division,"Kullada S.O, Baaruda B.O, Baliapata B.O, Balisahi B.O, Dholapita B.O, Gayaganda B.O, Gerada B.O, Golapada B.O, Guzurali B.O, Kalingapadar B.O, Khetamundali B.O, Kokolamba B.O, Lembhai B.O, Masabadi B.O, Rudhapadar B.O, Tarasinghi B.O, Tholadi B.O, Tilisinghi B.O, Turumu B.O"
761132,Odisha Circle,Berhampur Region,Aska Division,"Mujjagada S.O, Birikote B.O, Brhamanapadar B.O, Buduli B.O, Dadarlunda B.O, G.Rambha B.O, Gundribadi B.O, Mohaguda B.O"
761133,Odisha Circle,Berhampur Region,Aska Division,"Jillundi S.O, Gamundi B.O, Dubuduba B.O, Malaspadar B.O, Baunsalundi B.O"
761140,Odisha Circle,Berhampur Region,Aska Division,"Tanarada S.O, Dhumchai B.O, Dihapadhala B.O, G.Nuagam B.O, Inginathi B.O, K.Berhampur B.O, Kanabhaga B.O, Patulisahi B.O"
761141,Odisha Circle,Berhampur Region,Aska Division,"Gallery S.O, Badangi B.O, Domuhani B.O, Harigada B.O, Kupati B.O"
761143,Odisha Circle,Berhampur Region,Aska Division,"Karachulli S.O, B.Karadabadi B.O, Biranchipur B.O, Karasinghi B.O, Takarada B.O"
761144,Odisha Circle,Berhampur Region,Aska Division,"Konkarada S.O, Adapada B.O, Dengadi B.O, Kaudia B.O, Kurla B.O"
761146,Odisha Circle,Berhampur Region,Aska Division,"Burupada S.O, Dengapadar B.O, Gobindapur B.O, Gothagam B.O, Thuruburai B.O"
761151,Odisha circle,Berhampur Region,Aska Division,"Badabaraba B.O, Asura Bandha S.O, Badagochha B.O, Bhagabanpur B.O, Gazalbadi B.O, Karada B.O, Ramanabadi B.O, U. Dantilingi B.O"
761200,Odisha Circle,Berhampur Region,Rayagada Division,"Parlakhemundi H.O, Chitrakar Street S.O, Hospital Road S.O Gajapati, Paralakhemundi Bus Stand S.O, Jangam Street"
761201,Odisha Circle,Berhampur Region,Rayagada Division,"Station Road Paralakhemundi S.O, B.Sitapur B.O, Jammi B.O, Jeeba B.O, Jogipadu B.O, Kerandi B.O, Ranipeta B.O, Sidhamadango B.O, Tarangada B.O"
761206,Odisha Circle,Berhampur Region,Rayagada Division,"Kashinagar S.O Gajapati, Badigam B.O, Baijhola B.O, Bhupati Laxmipur B.O, Goribandha B.O, Khandava B.O, Kinigam B.O, Kitingi B.O, Kolia B.O, Siali B.O, Valada B.O"
761207,Odisha Circle,Berhampur Region,Rayagada Division,"Gumma S.O Gajapati, Ajayagada B.O, Ambajhari B.O, Ashrayagada B.O, Badakolkote B.O, Krishnachandrapur B.O, Munisingi B.O, Seranga B.O, Sindhiba B.O, Tumula B.O"
761208,Odisha Circle,Berhampur Region,Rayagada Division,"Kharada S.O, Bapenbadi B.O, Devadala B.O, Gaiba B.O, Hadubhangi B.O, K.Sitapur B.O, Parida B.O"
761209,Odisha Circle,Berhampur Region,Berhampur Division,"Khariaguda S.O, Bharampur B.O, Ch.Tikarapada B.O, Guma Dalaba B.O, Hukuma B.O, Kampa Khumbajhari B.O, Mandarada B.O, Narayanapur B.O, Puhundi B.O, S.B.Jagadevpur B.O, Talapada B.O, Tinigharia B.O, Turubudi B.O"
761210,Odisha Circle,Berhampur Region,Rayagada Division,"Gurandi S.O, Bhuskudi B.O, Gosani B.O, Jangalpadu B.O, Saradapur B.O, Tatipati B.O"
761211,Odisha Circle,Berhampur Region,Rayagada Division,"Uppalada S.O, Agarkhandi B.O, Ariba B.O, Bagusola B.O, Batisiripur B.O, Bomika B.O, Karasandha B.O, Madhusudanpur B.O, Mochamera B.O, Namagari B.O, Patikota B.O, R Sitapur B.O, Ranadevi B.O, Sailada B.O, Tampakaviti B.O"
761212,Odisha Circle,Berhampur Region,Rayagada Division,"Narayanapur S.O (Gajapati), Dambala B.O, Engarsingi B.O, Gangabad B.O, Gayaljuba B.O, Jeerango B.O, Koinpur B.O, Kuruguba B.O, Lalusahi B.O, Laxmipur B.O, Pothara B.O, Rasibad B.O, Sansada B.O, Talamunda B.O"
761213,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada S.O, Birujango B.O, Jallango B.O, Karadasingi B.O, Kujasingi B.O, Kumulusingi B.O, Marlaba B.O, Parisola B.O"
761214,Odisha Circle,Berhampur Region,Rayagada Division,"Nuagada S.O, Badapada B.O, Gulli B.O, Jhalarasingi B.O, Keradango B.O, Khajuripada B.O, Tabarada B.O"
