pincode,circle,region,division,offices
761002,Odisha Circle,Berhampur Region,Berhampur Division,"Gopalpur S.O (Ganjam), Badaputi B.O, Boxipalli B.O, Ganju B.O, Kallipalli B.O, Narayanapur B.O, Upalaputti B.O, Venkataraipur B.O"
761003,Odisha Circle,Berhampur Region,Berhampur Division,"Bhatakumarada S.O, Baghala B.O, Bellagam B.O, Bhabandha B.O, Chandipadar B.O, Dhobadipatapur B.O, Gondala B.O, Jagannathpur B.O, Laxmipur B.O, Sahapur B.O, Sunathara B.O, Tanganapalli B.O"
761004,Odisha Circle,Berhampur Region,Berhampur Division,"Patrapur S.O, Badabaranga B.O, Bhimpur B.O, Kelua B.O, Khambarigam B.O, Moisanpur B.O, Samantiapalli B.O, Santoshpur B.O"
761005,Odisha Circle,Berhampur Region,Berhampur Division,"Jaradagada S.O, Ambapur B.O, Andanda B.O, Burutal B.O, Chikati Badapur B.O, Gundra B.O, Jarada Ankuli B.O, Suanakhala B.O, Sunareddy B.O, Tumbagada B.O"
761006,Odisha Circle,Berhampur Region,Berhampur Division,"Jayantipur S.O, B.Nuagam B.O, Bansola B.O, Barango B.O, Gudipadar B.O, Kesaripada B.O, Totipuram B.O"
761007,Odisha Circle,Berhampur Region,Berhampur Division,"Padmanavapur S.O, B.Turubudi B.O, Boripadar B.O, Chaitanyapur B.O, Golanda B.O, Guhalpur B.O, Jharipadar B.O, Kaithkhandi B.O, Narendrappur B.O, Odasingi B.O, Talasingi B.O"
761008,Odisha Circle,Berhampur Region,Berhampur Division,"Golanthara S.O, Biswanathpur B.O, Chikarada B.O, Govindanagar B.O, Indrakhi B.O, Konika B.O, Konisi B.O, Kotharasingi B.O, Mantridi B.O, Mendrajpur B.O, Panchama B.O, Rondha B.O, Sasanapadar B.O, Shiala B.O, Sunadei B.O, Kanisi Hat S.O."
761009,Odisha Circle,Berhampur Region,Berhampur Division,"Girisola S.O, Gopinathpur B.O, Haripur B.O, Jhatipadar B.O, Kaviti Suvani B.O, Koturu B.O, R.Suvani B.O, Sonepur B.O, Surala B.O"
761010,Odisha Circle,Berhampur Region,Berhampur Division,"Chikiti S.O, Badapalanka B.O, Chikitipentho B.O, Jagamohanapur B.O, Kalabada B.O, Kolathia B.O, Kottilingi B.O, Krushanapur B.O, Madhabandha B.O, Nuagaon B.O, Pitatoli B.O, Ramchandrapur B.O, Rampa B.O"
761011,Odisha Circle,Berhampur Region,Berhampur Division,"Nuapada S.O, B.L.N.Pur B.O, Badakhajahari B.O, Banamali B.O, Dabarsingi B.O, Dauni B.O, Godagovindapur B.O, Goudagam B.O, L.N.Pur B.O"
761012,Odisha Circle,Berhampur Region,Berhampur Division,"Digapahandi S.O, Ambagaon B.O, Ankorada B.O, Chudangapur B.O, Gokarnapur B.O, Kusapada B.O, Maulabhanja B.O, Sahaspur B.O, Digapahandi Tahasil Colony S.O"
761013,Odisha Circle,Berhampur Region,Aska Division,"Pattapur S.O, Erendra B.O, Gangapur B.O, J.Balabhadrapur B.O, Khallingi B.O, Mahanala B.O, P.Jagannathpur B.O, P.Ramachandrapur B.O"
761014,Odisha Circle,Berhampur Region,Berhampur Division,"Pudamari S.O, Chanamari B.O, Kansamari B.O, P.Govindapur B.O, Patiguda B.O, Singipur B.O"
761015,Odisha Circle,Berhampur Region,Rayagada Division,"Mohana S.O., Badakhani B.O, Laduru B.O, Liligada B.O, Luhagudi B.O, Malasapadar B.O, Mudumudia B.O, Pindkii B.O, Sinkulipadar B.O, P.Govindapur B.O"
761016,Odisha Circle,Berhampur Region,Rayagada Division,"R.Udayagiri S.O, Anagha B.O, Anguru B.O, Attarsingi B.O, Betarsingi B.O, Chellagada B.O, Kakasingi B.O, Loba B.O, Mangarajpur B.O, Parimal B.O, Parisola B.O, Puturupada B.O, Ramagiri B.O, Randiba B.O, Sabarapalli B.O, Sambalapur (GM) B.O, Tabarasingi B.O"
761017,Odisha circle,Berhampur Region,Rayagada Division,"Antaraba B.O, Badasindhiba B.O, Chandiput B.O, Chelligada B.O, Darba B.O, Dhadhiambo B.O, Jeerango Colony B.O, Mahendragada B.O, Ranalai B.O, Sialilati B.O, Chandragiri S.O, Baghmari B.O"
761018,Odisha Circle,Berhampur Region,Berhampur Division,"Purushottampur S.O, Badabaragam B.O, Chingudighai B.O, Gnagadahani B.O, Hottapur B.O, Jamuni B.O, Kinigam B.O, Ranajhali B.O, Sikula B.O, Soma B.O, Taratrini Hills B.O, Purushottampur Nbs B.O"
761019,Odisha Circle,Berhampur Region,Berhampur Division,"Pratapur S.O (Ganjam), Alladigam B.O, Badachakada B.O, Badarampalli B.O, Khajipalli B.O, Komanda B.O, Poirasi B.O"
761020,Odisha Circle,Berhampur Region,Berhampur Division,"Chatrapur H.O, Chatrapur Bazar S.O, Sitarampalli S.O"
761025,Odisha Circle,Berhampur Region,Berhampur Division,Jayashree S.O
761026,Odisha Circle,Berhampur Region,Berhampur Division,"Ganjam S.O, Agastinuagam B.O, Badamadhapur B.O, Baulagam B.O, Bupilingi B.O, Chikalakhandi B.O, Humuri B.O, Kalyanapur B.O, Karapada B.O, Karatoli B.O, Mahanadapur B.O, Municipentho B.O, Pallibandha B.O, Podapadar B.O, Pottalmpur B.O, Rajpur B.O, Rukunigam B.O, Sarabhimpur B.O"
