business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Success Institute Of Technology | Nigdi, PCMC, Pune",Computer Training Institute,Training center,Training center,760010,Odisha Circle,Berhampur Region,Berhampur Division,"Engineering School S.O, Ankuli B.O, Dura B.O",+91 90490 42345,https://successitpune.com/,4.7,,"1st Floor, Sant Tukaram Maharaj Vyapar Sankul, B-3, near Sawali Hotel, Sector No. 24, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044","Sector No. 24, Pradhikaran, Nigdi",18.658236199999997,73.7771915,ChIJ_____-C5wjsRzZ4tLp0Gz_4,https://www.google.com/maps/place/?q=place_id:ChIJ_____-C5wjsRzZ4tLp0Gz_4,part_347,2026-09-20 20:45:19
Exponent IT Training & Services – Software & Programming Classes | Best Training in Akurdi Nigdi Pimpri Chinchwad PCMC Pune,Computer Training Institute,Software Training Institute,"Software Training Institute, Computer support and services, Education center, Educational institution, Employment consultant, Technical university, Training center",760010,Odisha Circle,Berhampur Region,Berhampur Division,"Engineering School S.O, Ankuli B.O, Dura B.O",+91 99609 08543,https://exponent-it.com/,4.9,,"Office No 01 & 02, Thorpe Corner, PCMC, Sant Namdev Marg, near Gurudwara, Gawade Wada, Gurudwara Colony, Akurdi, Pimpri-Chinchwad, Maharashtra 411044","Gawade Wada, Gurudwara Colony, Akurdi",18.6479976,73.7635486,ChIJmYgmA0y3wjsRF_1JhqJtXk0,https://www.google.com/maps/place/?q=place_id:ChIJmYgmA0y3wjsRF_1JhqJtXk0,part_347,2026-09-20 20:45:19
